No.,因子名,因子色,分類,備考
1,スピード,blue,status,
2,スタミナ,blue,status,
3,パワー,blue,status,
4,根性,blue,status,
5,賢さ,blue,status,
6,芝,red,aptitude,
7,ダート,red,aptitude,
8,短距離,red,aptitude,
9,マイル,red,aptitude,
10,中距離,red,aptitude,
11,長距離,red,aptitude,
12,逃げ,red,aptitude,
13,先行,red,aptitude,
14,差し,red,aptitude,
15,追込,red,aptitude,
16,継承固有,green,unique,
17,芝の遺伝子,white,gene,
18,ダートの遺伝子,white,gene,
19,短距離の遺伝子,white,gene,
20,マイルの遺伝子,white,gene,
21,中距離の遺伝子,white,gene,
22,長距離の遺伝子,white,gene,
23,逃げの遺伝子,white,gene,
24,先行の遺伝子,white,gene,
25,差しの遺伝子,white,gene,
26,追込の遺伝子,white,gene,
27,URAシナリオ,white,scenario,
28,アオハル杯シナリオ,white,scenario,
29,クライマックスシナリオ,white,scenario,
30,グランドライブシナリオ,white,scenario,
31,グランドマスターズシナリオ,white,scenario,
32,L'Arcシナリオ,white,scenario,
33,L'Arc・海外洋芝適性,white,scenario,
34,L'Arc・ロンシャン適性,white,scenario,
35,L'Arc・生活リズム,white,scenario,
36,L'Arc・栄養管理,white,scenario,
37,L'Arc・フランス語力,white,scenario,
38,L'Arc・海外遠征,white,scenario,
39,L'Arc・強心臓,white,scenario,
40,L'Arc・精神力,white,scenario,
41,L'Arcの希望,white,scenario,コーナー巧者〇Lv1も取得可能
42,凱旋門賞連覇の夢,white,scenario,下り坂巧者Lv1も取得可能
43,U.A.F.シナリオ・スフィア,white,scenario,
44,U.A.F.シナリオ・ファイト,white,scenario,
45,U.A.F.シナリオ・フリー,white,scenario,
46,豊食祭シナリオ・にんじん,white,scenario,
47,豊食祭シナリオ・にんにく,white,scenario,
48,豊食祭シナリオ・じゃがいも,white,scenario,
49,豊食祭シナリオ・唐辛子,white,scenario,
50,豊食祭シナリオ・いちご,white,scenario,
51,メカウマ娘シナリオ・SPD,white,scenario,
52,メカウマ娘シナリオ・STM,white,scenario,
53,メカウマ娘シナリオ・POW,white,scenario,
54,メカウマ娘シナリオ・GUTS,white,scenario,
55,メカウマ娘シナリオ・WIT,white,scenario,
56,Legendsシナリオ,white,scenario,
57,無人島シナリオ,white,scenario,
58,温泉郷シナリオ,white,scenario,
59,Dreamsシナリオ,white,scenario,
60,トレセン軒シナリオ,white,scenario,
61,フェブラリーS,white,race,
62,高松宮記念,white,race,
63,大阪杯,white,race,
64,桜花賞,white,race,
65,皐月賞,white,race,
66,天皇賞（春）,white,race,
67,NHKマイルC,white,race,
68,ヴィクトリアマイル,white,race,
69,オークス,white,race,
70,日本ダービー,white,race,
71,安田記念,white,race,
72,宝塚記念,white,race,
73,スプリンターズS,white,race,
74,秋華賞,white,race,
75,菊花賞,white,race,
76,天皇賞（秋）,white,race,
77,エリザベス女王杯,white,race,
78,マイルCS,white,race,
79,ジャパンC,white,race,
80,チャンピオンズC,white,race,
81,阪神JF,white,race,
82,朝日杯FS,white,race,
83,有馬記念,white,race,
84,ホープフルS,white,race,
85,帝王賞,white,race,
86,JDダービー,white,race,
87,JBCLクラシック,white,race,
88,JBCスプリント,white,race,
89,JBCクラシック,white,race,
90,東京大賞典,white,race,
91,マイルCS南部杯,white,race,
92,かしわ記念,white,race,
93,全日本ジュニア優駿,white,race,
94,川崎記念,white,race,
95,凱旋門賞,white,race,
96,BC・サンタアニタパーク,white,race,
97,BC・デルマー,white,race,
98,右回り○,white,skill,
99,左回り○,white,skill,
100,東京レース場○,white,skill,
101,中山レース場○,white,skill,
102,阪神レース場○,white,skill,
103,京都レース場○,white,skill,
104,中京レース場○,white,skill,
105,札幌レース場○,white,skill,
106,函館レース場○,white,skill,
107,福島レース場○,white,skill,
108,新潟レース場○,white,skill,
109,小倉レース場○,white,skill,
110,根幹距離○,white,skill,
111,非根幹距離○,white,skill,
112,良バ場○,white,skill,
113,道悪○,white,skill,
114,春ウマ娘○,white,skill,
115,夏ウマ娘○,white,skill,
116,秋ウマ娘○,white,skill,
117,冬ウマ娘○,white,skill,
118,晴れの日○,white,skill,
119,曇りの日○,white,skill,
120,雨の日○,white,skill,
121,雪の日○,white,skill,
122,内枠得意○,white,skill,
123,外枠得意○,white,skill,
124,おひとり様○,white,skill,
125,対抗意識○,white,skill,
126,徹底マーク○,white,skill,
127,伏兵○,white,skill,
128,コーナー巧者○,white,skill,
129,コーナー加速○,white,skill,
130,コーナー回復○,white,skill,
131,直線巧者,white,skill,
132,直線加速,white,skill,
133,直線回復,white,skill,
134,集中力,white,skill,
135,隠れ蓑,white,skill,
136,ポジションセンス,white,skill,
137,ペースアップ,white,skill,
138,ペースキープ,white,skill,
139,ウマ込み冷静,white,skill,
140,垂れウマ回避,white,skill,
141,臨機応変,white,skill,
142,末脚,white,skill,
143,先駆け,white,skill,
144,急ぎ足,white,skill,
